observer,session,prop_homo,prop_hetero,meanlogrt,median_rt
1,b,0.23684210526315788,0.7631578947368421,11.502374756183613,2262
2,b,0.5823232323232324,0.4176767676767677,NA,NA
3,b,0.6962025316455697,0.3037974683544304,11.90727186375511,3666.5
5,b,0.5126582278481012,0.4873417721518987,11.59376634054024,3044
6,b,0.4349099099099099,0.56509009009009,11.271974370604745,2449
7,b,0.28662280701754383,0.7133771929824562,11.910016471458968,4179.5
8,b,0.32395833333333335,0.6760416666666667,11.370984644666272,2296.5
9,b,0.3680365296803653,0.6319634703196347,11.202875468178084,2139
10,b,0.29572649572649573,0.7042735042735043,11.703094169911292,3098.5
11,b,0.7945147679324894,0.20548523206751054,NA,NA
12,b,0.5068627450980392,0.49313725490196075,11.597205008439245,2999
13,b,0.58,0.42,11.964347919515392,3963
14,b,0.27478070175438596,0.725219298245614,11.635657379035353,3042.5
16,b,0.370042194092827,0.629957805907173,11.660142066295954,3311
17,b,0.7577625570776255,0.24223744292237442,NA,NA
19,b,0.3861111111111111,0.6138888888888889,NA,NA
20,b,0.46452991452991454,0.5354700854700855,11.94873787069418,3663.5
22,b,0.731875,0.268125,12.068768423558236,4527.5
23,b,0.6588095238095238,0.3411904761904762,12.0851308135012,4194
24,b,0.5088888888888888,0.4911111111111111,12.120308068503883,4092.5
25,b,0.5266666666666666,0.47333333333333333,11.680111717702523,3110
26,b,0.39675324675324675,0.6032467532467533,11.814320398050445,3607
27,b,0.45151515151515154,0.5484848484848485,11.819939995497064,3765.5
28,b,0.18782051282051282,0.8121794871794872,11.128506940282309,2206.5
29,b,0.2679166666666667,0.7320833333333333,11.450403253503428,2798
30,b,0.5838095238095238,0.41619047619047617,11.28149628469783,2375
31,b,0.3352320675105485,0.6647679324894514,11.776978857019838,3086
34,b,0.1571729957805907,0.8428270042194093,11.77196585627146,3367
35,b,0.400210970464135,0.599789029535865,11.28892987946576,2161.5
36,b,0.22294372294372294,0.7770562770562771,11.124520597437433,2022.5
37,b,0.20869565217391303,0.7913043478260869,10.889979347231245,1870.5
38,b,0.12875,0.87125,11.017425106412617,1918
39,b,0.20833333333333334,0.7916666666666666,11.132652965199002,2135.5
40,b,0.24767932489451477,0.7523206751054853,11.817371305857685,3379.5
41,b,0.3921171171171171,0.6078828828828828,11.897302673473996,3952
42,b,0.34400000000000003,0.656,11.20591193309575,2265
43,b,0.3279166666666667,0.6720833333333334,11.499319972353414,2498
44,b,0.17875,0.82125,11.44406590240616,2307
45,b,0.5109649122807017,0.48903508771929827,11.74348844126497,3194.5
46,b,0.022747747747747748,0.9772522522522522,10.798271972196467,1705
47,b,0.32763713080168777,0.6723628691983122,11.70914245985017,3023.5
49,b,0.9422222222222222,0.057777777777777775,NA,NA
50,b,0.8128888888888889,0.18711111111111112,12.88797056859026,7961
51,b,0.48486842105263156,0.5151315789473684,13.410705415829142,12558
52,b,0.13627450980392156,0.8637254901960785,11.003792657043533,1978
53,b,0.059375,0.940625,10.970675453661405,1914
54,b,0.32526041666666666,0.6747395833333333,NA,NA
55,b,0.14583333333333334,0.8541666666666666,11.125942999768393,2203
59,b,0.6408119658119659,0.3591880341880342,11.982361297037015,3326
60,b,0.23217592592592592,0.767824074074074,11.481986755737585,2656
61,b,0.109009009009009,0.890990990990991,11.756092589625426,3106
62,b,0.146875,0.853125,11.098375662778603,1994.5
63,b,0.40797101449275364,0.5920289855072464,11.484748187780715,2438
64,b,0.6811594202898551,0.3188405797101449,13.160421141595778,9070
65,b,0.20897435897435898,0.791025641025641,11.181835730084522,2338
66,b,0.20448717948717948,0.7955128205128206,11.380663215180627,2458
